mayorid,regionid.ch,city_id,city_id_year,year.x,cancel.year,prior.treat.cities.region,treatment.group,ur.totals,vote.totals,ur.voteshare,turnout,intercept.ns,nonstandard.coef,intercept.turnout,PositionCity,city_id.y,year.y,regionid,naive_counter,dumamargin,cancel,margin,margin.most.recent,naive_counter2,naive_counter3,dem,growth_1,pressfreedom,regelect_margin,regmarginXmargin,regmarginXmarginextended,URshare,UR_majority,gov_good,twoyrdum1,twoyrdum2,twoyrdum3,twoyrdum4,twoyrdum5,twoyrdum6,twoyrdum7,poppopprop,criminalpast,civsoc91,kprf99,education,pctRussian2002_new,lnAvgSalary,marginXdem,govgoodXmargin,opp_mayor1,introduce,mayorbefore,cancel_withouttwo,resource_grp,unempchg_1,unemployrate,diff_unemp,AvgSalary_demeaned_chg,marginXoppmayor,marginXmayorbefore,marginXduma,treat.group.07,treat.group.08,treat.group.11,treat.group.12,posttreat.07,posttreat.08,posttreat.11,posttreat.12,presidential,urgov,comp.scale2,comp.scale03_18,xconst.lag,pensioners.per.1000,ethnic.categorical,putin.app.3mo,govemploy.by.pop,mayor.cancel.year,elections.kept,elections.canceled,treat.appoint.newmayor,treat.appoint.oldmayor,mayor.start.year,mayor.tenure
446,72,145,145_2003,2003,2008,0,1,55582,197500,0.281427848,0.240121472,0.1587,0.1336,0.0237,Tver',145,2003,15,7,NA,0,0.349700004,0.349700004,49,343,27,101.6999969,somewhat free,NA,NA,NA,NA,NA,0.27,0,0,1,0,0,0,0,0.277322322,0,2,23.20000076,17.89999962,0.924936414,7.995980263,9.441900253,0.094419003,NA,NA,0,0,0.128571436,-2.800000191,0.513834596,0.007862806,-965.3417969,NA,0,NA,0,0,1,0,0,0,0,0,0,0,1.063238273,0.195014506,5,308.9,Non-ethnic,0.76,10.53462604,447,0,1,0,0,2003,0
447,72,145,145_2004,2004,2008,0,1,113889,171214,0.66518509,0.7179828,0.3304,0.4577,-0.0246,Tver',145,2004,15,1,0.164475158,0,0.086899988,0.086899988,1,1,27,109.4000015,somewhat free,NA,NA,NA,NA,0,0.19,0,0,1,0,0,0,0,0.28348732,0,2,23.20000076,18.60000038,0.924936414,8.150467873,2.346299648,0.016510997,1,NA,1,0,0.128571436,1.900000095,0.647694588,0.133859992,-636.9462891,0.086899988,0.086899988,0.014292889,0,0,1,0,0,0,0,0,1,1,0.385857077,0.078518389,5,308.9,Non-ethnic,0.82,10.53462604,447,0,1,0,0,2004,0
447,72,145,145_2007,2007,2008,0,1,103897,195530,0.531360916,0.628703978,0.3,0.5228,-0.0516,Tver',145,2007,15,4,0.36280331,0,0.086899988,0.086899988,16,64,31,110.6999969,somewhat free,0.037906095,0.003294039,0.000286252,NA,0,0.34,0,0,0,0,1,0,0,0.294047683,0,2,23.20000076,18.70000076,0.924936414,8.863757133,2.693899632,0.029545996,1,NA,1,0,0.1,-1.400000095,0.566932142,-0.082193792,-1352.573242,0.086899988,0.086899988,0.031527605,0,0,1,0,1,0,0,0,0,1,0.62041287,0.138357925,4,308.8,Non-ethnic,0.82,13.36770007,447,0,1,0,0,2004,3
447,72,145,145_2008,2008,2008,0,1,137462,218597,0.628837541,0.613975151,0.3844,0.4285,0.0095,Tver',145,2008,15,5,0.36280331,1,0.54430002,0.54430002,25,125,31,107.6999969,somewhat free,0.037906095,0.020632289,0.011230155,0.514285743,1,0.245,0,0,0,0,1,0,0,0.297570437,0,2,23.20000076,19.70000076,0.924936414,9.103534698,16.87330055,0.133353502,0,NA,1,1,0.2,-0.300000191,0.658536255,0.091604114,-1845.385742,0,0.54430002,0.197473854,0,0,1,0,1,1,0,0,1,1,0.62041287,0.138357925,4,308.8,Non-ethnic,0.86,13.36770007,447,0,1,0,0,2004,4
449,72,145,145_2011,2011,2008,0,1,47573,172722,0.275431039,0.56790327,0.1309,0.606,-0.1428,Tver',145,2011,15,2,0.009877384,NA,NA,0.5443,4,8,31,NA,somewhat free,-0.015833735,NA,NA,0.285714298,0,0.15625,0,0,0,0,0,0,1,0.29814446,0,2,23.20000076,20,0.924936414,10.03333092,NA,NA,NA,0,0,NA,0.1,-1.099999905,0.851983845,-0.139889896,-108.03125,NA,NA,NA,0,0,1,0,1,1,1,0,0,1,0.62041287,0.138357925,4,317.1,Non-ethnic,0.67,14.55588674,447,0,1,1,0,2011,0
448,72,145,145_2012,2012,2008,0,1,105235,205002,0.513336455,0.698422413,0.2973,0.5526,-0.1073,Tver',145,2012,15,1,NA,NA,NA,0.5443,1,1,31,NA,somewhat free,NA,NA,NA,0.285714298,0,NA,0,0,0,0,0,0,1,0.29814446,0,2,23.20000076,20,0.924936414,10.18463612,NA,NA,NA,0,0,NA,NA,NA,0.681736171,-0.170247674,5.21484375,NA,NA,NA,0,0,1,0,1,1,1,1,1,1,0.62041287,0.138357925,4,317.1,Non-ethnic,0.64,14.55588674,447,0,1,1,0,2012,0
400,73,132,132_2003,2003,2005,0,1,17349,59597,0.291105257,0.272754917,0.1768,0.2328,0.0118,Seversk,132,2003,77,7,0.144774154,0,0.746999979,0.746999979,49,343,27,109.1999969,somewhat free,NA,NA,NA,NA,NA,0.58,0,0,1,0,0,0,0,0.104491606,0,3,16.5,22.60000038,0.908400178,8.398634911,20.16899872,0.433259994,NA,NA,0,0,27.2857151,1.199999809,NA,NA,-352.3417969,NA,0,0.108146288,1,0,0,0,0,0,0,0,0,0,-0.76902234,-0.120097942,5,240.2,Non-ethnic,0.76,11.00480307,0,0,1,0,0,2003,0
400,73,132,132_2004,2004,2005,0,1,40051,64879,0.617318393,0.69985449,0.4042,0.6525,-0.0538,Seversk,132,2004,77,8,0.144774154,0,0.746999979,0.746999979,64,512,27,111.8000031,somewhat free,NA,NA,NA,NA,NA,0.61,0,0,1,0,0,0,0,0.104943819,0,3,16.5,30.5,0.908400178,8.647694588,20.16899872,0.455669999,NA,NA,0,0,27.2857151,2.699999809,NA,NA,123.0537109,NA,0,0.108146288,1,0,0,0,0,0,0,0,1,0,-0.76902234,-0.120097942,5,240.2,Non-ethnic,0.82,11.00480307,0,0,1,0,0,2003,1
402,73,132,132_2007,2007,2005,0,1,40766,74624,0.546285377,0.608347677,0.4071,0.5042,-0.0451,Seversk,132,2007,77,2,NA,NA,NA,0.747,4,8,29,102.6999969,somewhat free,0.295519412,NA,NA,NA,NA,0.61,0,0,0,0,1,0,0,0.105411477,0,3,16.5,33.70000076,0.908400178,9.280332565,NA,NA,NA,0,0,NA,24.9,-1.5,NA,NA,-609.5732422,NA,NA,NA,1,0,0,0,1,0,0,0,0,1,-0.76902234,-0.120097942,4,250.2,Non-ethnic,0.82,13.76120858,0,0,1,1,0,2007,0
399,73,132,132_2008,2008,2005,0,1,38230,65423,0.584351069,0.74386931,0.38,0.6526,-0.1078,Seversk,132,2008,77,1,0.39973861,NA,NA,0.747,1,1,29,104,somewhat free,NA,NA,NA,NA,NA,0.595,0,0,0,0,1,0,0,0.105136551,0,3,16.5,18.60000038,0.908400178,9.487290382,NA,NA,NA,0,0,NA,27.4,-2.099999905,NA,NA,-1295.385742,NA,NA,NA,1,0,0,0,1,1,0,0,1,1,-0.169399054,0.043505895,4,250.2,Non-ethnic,0.86,13.76120858,0,0,1,1,0,2008,0
