"","Year","Month","Day","Country","dengue_cases"
"155",2003,5,18,"India",19
"156",2003,5,18,"Indonesia",61
"157",2003,5,18,"Mexico",69
"158",2003,5,18,"Philippines",57
"159",2003,5,18,"Singapore",151
"160",2003,5,18,"Venezuela",202
"161",2003,5,25,"Argentina",39
"162",2003,5,25,"Bolivia",64
"163",2003,5,25,"Brazil",71
"164",2003,5,25,"India",15
"165",2003,5,25,"Indonesia",62
"166",2003,5,25,"Mexico",74
"167",2003,5,25,"Philippines",55
"168",2003,5,25,"Singapore",175
"169",2003,5,25,"Venezuela",177
"170",2003,6,1,"Argentina",34
"171",2003,6,1,"Bolivia",58
"172",2003,6,1,"Brazil",8
"173",2003,6,1,"India",31
"174",2003,6,1,"Indonesia",82
"175",2003,6,1,"Mexico",79
"176",2003,6,1,"Philippines",62
"177",2003,6,1,"Singapore",161
"178",2003,6,1,"Venezuela",192
"179",2003,6,8,"Argentina",39
"180",2003,6,8,"Bolivia",42
"181",2003,6,8,"Brazil",62
"182",2003,6,8,"India",5
"183",2003,6,8,"Indonesia",69
"184",2003,6,8,"Mexico",88
"185",2003,6,8,"Philippines",59
"186",2003,6,8,"Singapore",15
"187",2003,6,8,"Venezuela",186
"188",2003,6,15,"Argentina",39
"189",2003,6,15,"Bolivia",47
"190",2003,6,15,"Brazil",36
"191",2003,6,15,"India",94
"192",2003,6,15,"Indonesia",55
"193",2003,6,15,"Mexico",74
"194",2003,6,15,"Philippines",59
"195",2003,6,15,"Singapore",163
"196",2003,6,15,"Venezuela",178
"197",2003,6,22,"Argentina",39
"198",2003,6,22,"Bolivia",39
"199",2003,6,22,"Brazil",73
"200",2003,6,22,"India",165
"201",2003,6,22,"Indonesia",55
"202",2003,6,22,"Mexico",56
"203",2003,6,22,"Philippines",58
"204",2003,6,22,"Singapore",143
"205",2003,6,22,"Venezuela",16
"206",2003,6,29,"Argentina",31
"207",2003,6,29,"Bolivia",38
"208",2003,6,29,"Brazil",56
"209",2003,6,29,"India",17
